"Number in population by employment status, grounds for settlement, number of years in Sweden, region of birth, sex, age and year"

"employment status","grounds for settlement","number of years in Sweden","region of birth","sex","age","2020","2021","2022","2023"
"not gainfully employed population","other/GFS not relevant","0-3 years","Europe, excl. Sweden","total","30-39 years",338,541,459,351
"not gainfully employed population","other/GFS not relevant","0-3 years","Europe, excl. Sweden","total","40-49 years",241,347,334,222
"not gainfully employed population","other/GFS not relevant","0-3 years","Europe, excl. Sweden","total","50-59 years",127,214,220,174
"not gainfully employed population","other/GFS not relevant","0-3 years","Europe, excl. Sweden","total","60-64 years",33,86,77,64
"not gainfully employed population","other/GFS not relevant","0-3 years","Europe, excl. Sweden","total","65-69 years",31,67,54,39
"not gainfully employed population","other/GFS not relevant","0-3 years","Europe, excl. Sweden","total","70-74 years",14,32,39,41
"not gainfully employed population","other/GFS not relevant","0-3 years","Africa","total","total",815,767,668,491
"not gainfully employed population","other/GFS not relevant","0-3 years","Africa","total","20-24 years",49,47,54,47
"not gainfully employed population","other/GFS not relevant","0-3 years","Africa","total","25-29 years",108,127,118,94
"not gainfully employed population","other/GFS not relevant","0-3 years","Africa","total","30-39 years",311,326,248,179
"not gainfully employed population","other/GFS not relevant","0-3 years","Africa","total","40-49 years",247,192,189,118
"not gainfully employed population","other/GFS not relevant","0-3 years","Africa","total","50-59 years",91,61,52,50
"not gainfully employed population","other/GFS not relevant","0-3 years","Africa","total","60-64 years",0,4,0,3
"not gainfully employed population","other/GFS not relevant","0-3 years","Africa","total","65-69 years",4,4,3,0
"not gainfully employed population","other/GFS not relevant","0-3 years","Africa","total","70-74 years",0,3,5,3
"not gainfully employed population","other/GFS not relevant","0-3 years","Asia","total","total",3293,3565,3732,2868
"not gainfully employed population","other/GFS not relevant","0-3 years","Asia","total","20-24 years",353,404,403,314
"not gainfully employed population","other/GFS not relevant","0-3 years","Asia","total","25-29 years",566,604,679,514
"not gainfully employed population","other/GFS not relevant","0-3 years","Asia","total","30-39 years",1212,1303,1233,967
"not gainfully employed population","other/GFS not relevant","0-3 years","Asia","total","40-49 years",884,919,1032,768
"not gainfully employed population","other/GFS not relevant","0-3 years","Asia","total","50-59 years",211,269,302,238
"not gainfully employed population","other/GFS not relevant","0-3 years","Asia","total","60-64 years",45,38,47,34
"not gainfully employed population","other/GFS not relevant","0-3 years","Asia","total","65-69 years",17,19,22,22
"not gainfully employed population","other/GFS not relevant","0-3 years","Asia","total","70-74 years",8,8,18,6
"not gainfully employed population","other/GFS not relevant","0-3 years","rest of the world, incl. Soviet Union","total","total",260,344,336,227
"not gainfully employed population","other/GFS not relevant","0-3 years","rest of the world, incl. Soviet Union","total","20-24 years",54,50,46,26
"not gainfully employed population","other/GFS not relevant","0-3 years","rest of the world, incl. Soviet Union","total","25-29 years",46,69,71,34
"not gainfully employed population","other/GFS not relevant","0-3 years","rest of the world, incl. Soviet Union","total","30-39 years",85,106,116,80
"not gainfully employed population","other/GFS not relevant","0-3 years","rest of the world, incl. Soviet Union","total","40-49 years",44,62,43,31
"not gainfully employed population","other/GFS not relevant","0-3 years","rest of the world, incl. Soviet Union","total","50-59 years",13,37,37,26
"not gainfully employed population","other/GFS not relevant","0-3 years","rest of the world, incl. Soviet Union","total","60-64 years",8,9,12,14
"not gainfully employed population","other/GFS not relevant","0-3 years","rest of the world, incl. Soviet Union","total","65-69 years",6,8,13,9
"not gainfully employed population","other/GFS not relevant","0-3 years","rest of the world, incl. Soviet Union","total","70-74 years",3,5,3,3
"not gainfully employed population","other/GFS not relevant","0-3 years","unknown","total","total",7,9,5,0
"not gainfully employed population","other/GFS not relevant","0-3 years","unknown","total","20-24 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","0-3 years","unknown","total","25-29 years",4,4,4,0
"not gainfully employed population","other/GFS not relevant","0-3 years","unknown","total","30-39 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","0-3 years","unknown","total","40-49 years",0,4,3,0
"not gainfully employed population","other/GFS not relevant","0-3 years","unknown","total","50-59 years",3,0,0,0
"not gainfully employed population","other/GFS not relevant","0-3 years","unknown","total","60-64 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","0-3 years","unknown","total","65-69 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","0-3 years","unknown","total","70-74 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","4-9 years","total","total","total",3450,3541,4057,4729
"not gainfully employed population","other/GFS not relevant","4-9 years","total","total","20-24 years",243,275,361,377
"not gainfully employed population","other/GFS not relevant","4-9 years","total","total","25-29 years",281,317,384,448
"not gainfully employed population","other/GFS not relevant","4-9 years","total","total","30-39 years",1036,1108,1318,1550
"not gainfully employed population","other/GFS not relevant","4-9 years","total","total","40-49 years",858,901,1017,1261
"not gainfully employed population","other/GFS not relevant","4-9 years","total","total","50-59 years",453,458,520,640
"not gainfully employed population","other/GFS not relevant","4-9 years","total","total","60-64 years",183,156,161,166
"not gainfully employed population","other/GFS not relevant","4-9 years","total","total","65-69 years",171,148,162,176
"not gainfully employed population","other/GFS not relevant","4-9 years","total","total","70-74 years",221,181,128,107
"not gainfully employed population","other/GFS not relevant","4-9 years","Sweden","total","total",0,0,0,0
"not gainfully employed population","other/GFS not relevant","4-9 years","Sweden","total","20-24 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","4-9 years","Sweden","total","25-29 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","4-9 years","Sweden","total","30-39 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","4-9 years","Sweden","total","40-49 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","4-9 years","Sweden","total","50-59 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","4-9 years","Sweden","total","60-64 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","4-9 years","Sweden","total","65-69 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","4-9 years","Sweden","total","70-74 years",0,0,0,0
"not gainfully employed population","other/GFS not relevant","4-9 years","Europe, excl. Sweden","total","total",1658,1685,1771,2034
"not gainfully employed population","other/GFS not relevant","4-9 years","Europe, excl. Sweden","total","20-24 years",120,149,200,207
"not gainfully employed population","other/GFS not relevant","4-9 years","Europe, excl. Sweden","total","25-29 years",141,157,172,220
